Date,Nuclear Electric Power Consumption
1973-01-15,0.068103
1973-02-15,0.064634
1973-03-15,0.072494
1973-04-15,0.06407
1973-05-15,0.062111
1973-06-15,0.073968
1973-07-15,0.07589
1973-08-15,0.084883
1973-09-15,0.085724
1973-10-15,0.081971
1973-11-15,0.088773
1973-12-15,0.087557
1974-01-15,0.084855
1974-02-15,0.090577
1974-03-15,0.097966
1974-04-15,0.079566
1974-05-15,0.073242
1974-06-15,0.079015
1974-07-15,0.113953
1974-08-15,0.137654
1974-09-15,0.12288
1974-10-15,0.121248
1974-11-15,0.122819
1974-12-15,0.148309
1975-01-15,0.153503
1975-02-15,0.140232
1975-03-15,0.163893
1975-04-15,0.146773
1975-05-15,0.15158
1975-06-15,0.140348
1975-07-15,0.169294
1975-08-15,0.174883
1975-09-15,0.158543
1975-10-15,0.161078
1975-11-15,0.155988
1975-12-15,0.183682
1976-01-15,0.177844
1976-02-15,0.158824
1976-03-15,0.15458
1976-04-15,0.121316
1976-05-15,0.131784
1976-06-15,0.174072
1976-07-15,0.195628
1976-08-15,0.202851
1976-09-15,0.191006
1976-10-15,0.191723
1976-11-15,0.178235
1976-12-15,0.233256
1977-01-15,0.238556
1977-02-15,0.211078
1977-03-15,0.222619
1977-04-15,0.213943
1977-05-15,0.221834
1977-06-15,0.23172
1977-07-15,0.235032
1977-08-15,0.244991
1977-09-15,0.211395
1977-10-15,0.205053
1977-11-15,0.209548
1977-12-15,0.255994
1978-01-15,0.282638
1978-02-15,0.238869
1978-03-15,0.245611
1978-04-15,0.192342
1978-05-15,0.223373
1978-06-15,0.242728
1978-07-15,0.273603
1978-08-15,0.280082
1978-09-15,0.242769
1978-10-15,0.251605
1978-11-15,0.272438
1978-12-15,0.278067
1979-01-15,0.302351
1979-02-15,0.281883
1979-03-15,0.264739
1979-04-15,0.200369
1979-05-15,0.163455
1979-06-15,0.174776
1979-07-15,0.226552
1979-08-15,0.263316
1979-09-15,0.237204
1979-10-15,0.227745
1979-11-15,0.209477
1979-12-15,0.223959
1980-01-15,0.215389
1980-02-15,0.210277
1980-03-15,0.218584
1980-04-15,0.205
1980-05-15,0.200541
1980-06-15,0.199859
1980-07-15,0.229329
1980-08-15,0.265424
1980-09-15,0.257127
1980-10-15,0.267351
1980-11-15,0.228892
1980-12-15,0.241396
1981-01-15,0.26228
1981-02-15,0.238196
1981-03-15,0.242709
1981-04-15,0.227726
1981-05-15,0.217546
1981-06-15,0.233457
1981-07-15,0.254569
1981-08-15,0.297219
1981-09-15,0.269115
1981-10-15,0.226731
1981-11-15,0.251301
1981-12-15,0.286743
1982-01-15,0.284331
1982-02-15,0.223538
1982-03-15,0.251971
1982-04-15,0.241222
1982-05-15,0.239606
1982-06-15,0.26604
1982-07-15,0.281997
1982-08-15,0.276671
1982-09-15,0.281149
1982-10-15,0.257422
1982-11-15,0.257281
1982-12-15,0.269921
1983-01-15,0.273422
1983-02-15,0.242067
1983-03-15,0.260523
1983-04-15,0.243561
1983-05-15,0.240465
1983-06-15,0.263376
1983-07-15,0.279191
1983-08-15,0.285725
1983-09-15,0.272705
1983-10-15,0.281314
1983-11-15,0.272735
1983-12-15,0.287465
1984-01-15,0.317844
1984-02-15,0.308326
1984-03-15,0.296499
1984-04-15,0.262738
1984-05-15,0.280471
1984-06-15,0.274321
1984-07-15,0.306687
1984-08-15,0.319793
1984-09-15,0.316027
1984-10-15,0.268621
1984-11-15,0.266462
1984-12-15,0.334742
1985-01-15,0.384371
1985-02-15,0.32729
1985-03-15,0.32972
1985-04-15,0.28104
1985-05-15,0.304823
1985-06-15,0.32755
1985-07-15,0.373727
1985-08-15,0.369775
1985-09-15,0.366541
1985-10-15,0.331461
1985-11-15,0.320428
1985-12-15,0.358837
1986-01-15,0.383159
1986-02-15,0.346156
1986-03-15,0.325549
1986-04-15,0.322413
1986-05-15,0.337725
1986-06-15,0.331481
1986-07-15,0.379718
1986-08-15,0.396534
1986-09-15,0.387113
1986-10-15,0.383103
1986-11-15,0.369674
1986-12-15,0.417484
1987-01-15,0.417417
1987-02-15,0.382159
1987-03-15,0.389382
1987-04-15,0.349992
1987-05-15,0.358374
1987-06-15,0.38176
1987-07-15,0.41826
1987-08-15,0.431801
1987-09-15,0.414191
1987-10-15,0.381045
1987-11-15,0.390924
1987-12-15,0.438627
1988-01-15,0.473469
1988-02-15,0.447892
1988-03-15,0.465555
1988-04-15,0.424786
1988-05-15,0.430975
1988-06-15,0.467326
1988-07-15,0.528281
1988-08-15,0.519872
1988-09-15,0.49056
1988-10-15,0.451551
1988-11-15,0.419662
1988-12-15,0.467038
1989-01-15,0.490288
1989-02-15,0.409824
1989-03-15,0.419471
1989-04-15,0.354476
1989-05-15,0.405739
1989-06-15,0.454815
1989-07-15,0.553819
1989-08-15,0.581511
1989-09-15,0.474507
1989-10-15,0.460972
1989-11-15,0.459296
1989-12-15,0.537442
1990-01-15,0.583273
1990-02-15,0.528705
1990-03-15,0.487694
1990-04-15,0.407576
1990-05-15,0.454445
1990-06-15,0.490288
1990-07-15,0.567668
1990-08-15,0.590033
1990-09-15,0.513067
1990-10-15,0.459207
1990-11-15,0.476554
1990-12-15,0.545839
1991-01-15,0.570005
1991-02-15,0.501792
1991-03-15,0.514987
1991-04-15,0.43646
1991-05-15,0.490175
1991-06-15,0.568322
1991-07-15,0.636742
1991-08-15,0.613027
1991-09-15,0.543843
1991-10-15,0.49959
1991-11-15,0.485359
1991-12-15,0.561832
1992-01-15,0.605734
1992-02-15,0.552907
1992-03-15,0.479942
1992-04-15,0.442584
1992-05-15,0.477764
1992-06-15,0.535959
1992-07-15,0.586886
1992-08-15,0.614183
1992-09-15,0.533178
1992-10-15,0.510817
1992-11-15,0.531147
1992-12-15,0.608106
1993-01-15,0.620536
1993-02-15,0.539056
1993-03-15,0.489546
1993-04-15,0.453758
1993-05-15,0.529053
1993-06-15,0.552722
1993-07-15,0.593499
1993-08-15,0.590418
1993-09-15,0.525081
1993-10-15,0.466738
1993-11-15,0.492243
1993-12-15,0.557848
1994-01-15,0.594162
1994-02-15,0.520733
1994-03-15,0.511829
1994-04-15,0.451444
1994-05-15,0.507184
1994-06-15,0.540902
1994-07-15,0.61795
1994-08-15,0.628207
1994-09-15,0.581426
1994-10-15,0.529943
1994-11-15,0.577783
1994-12-15,0.632314
1995-01-15,0.665531
1995-02-15,0.544873
1995-03-15,0.545102
1995-04-15,0.518215
1995-05-15,0.571444
1995-06-15,0.592394
1995-07-15,0.651824
1995-08-15,0.64787
1995-09-15,0.585133
1995-10-15,0.570461
1995-11-15,0.553807
1995-12-15,0.628781
1996-01-15,0.661075
1996-02-15,0.587409
1996-03-15,0.582642
1996-04-15,0.528566
1996-05-15,0.584355
1996-06-15,0.603899
1996-07-15,0.640194
1996-08-15,0.645688
1996-09-15,0.573389
1996-10-15,0.531582
1996-11-15,0.54754
1996-12-15,0.600336
1997-01-15,0.618248
1997-02-15,0.531601
1997-03-15,0.529045
1997-04-15,0.471001
1997-05-15,0.493552
1997-06-15,0.546683
1997-07-15,0.601853
1997-08-15,0.641012
1997-09-15,0.551839
1997-10-15,0.493021
1997-11-15,0.537176
1997-12-15,0.581961
1998-01-15,0.607312
1998-02-15,0.535028
1998-03-15,0.563483
1998-04-15,0.498354
1998-05-15,0.540248
1998-06-15,0.584683
1998-07-15,0.645187
1998-08-15,0.633331
1998-09-15,0.600147
1998-10-15,0.602492
1998-11-15,0.601894
1998-12-15,0.655652
1999-01-15,0.686455
1999-02-15,0.600763
1999-03-15,0.614858
1999-04-15,0.507129
1999-05-15,0.585793
1999-06-15,0.651038
1999-07-15,0.698212
1999-08-15,0.712091
1999-09-15,0.636771
1999-10-15,0.578335
1999-11-15,0.632772
1999-12-15,0.706037
2000-01-15,0.737981
2000-02-15,0.669318
2000-03-15,0.654279
2000-04-15,0.607585
2000-05-15,0.667205
2000-06-15,0.701857
2000-07-15,0.719306
2000-08-15,0.701102
2000-09-15,0.607662
2000-10-15,0.547207
2000-11-15,0.58894
2000-12-15,0.65991
2001-01-15,0.717508
2001-02-15,0.639868
2001-03-15,0.648935
2001-04-15,0.58484
2001-05-15,0.642374
2001-06-15,0.710365
2001-07-15,0.722301
2001-08-15,0.714192
2001-09-15,0.661861
2001-10-15,0.631394
2001-11-15,0.651034
2001-12-15,0.704181
2002-01-15,0.740608
2002-02-15,0.643836
2002-03-15,0.65827
2002-04-15,0.6102
2002-05-15,0.658182
2002-06-15,0.693055
2002-07-15,0.735334
2002-08-15,0.739061
2002-09-15,0.673308
2002-10-15,0.631668
2002-11-15,0.642395
2002-12-15,0.719511
2003-01-15,0.721318
2003-02-15,0.635136
2003-03-15,0.624624
2003-04-15,0.591715
2003-05-15,0.648269
2003-06-15,0.668892
2003-07-15,0.725921
2003-08-15,0.719367
2003-09-15,0.662669
2003-10-15,0.625489
2003-11-15,0.621151
2003-12-15,0.715071
2004-01-15,0.738367
2004-02-15,0.668455
2004-03-15,0.659937
2004-04-15,0.611292
2004-05-15,0.676959
2004-06-15,0.706331
2004-07-15,0.750556
2004-08-15,0.741102
2004-09-15,0.687539
2004-10-15,0.652067
2004-11-15,0.614635
2004-12-15,0.715534
2005-01-15,0.728728
2005-02-15,0.636042
2005-03-15,0.642216
2005-04-15,0.579031
2005-05-15,0.65716
2005-06-15,0.690282
2005-07-15,0.741687
2005-08-15,0.744938
2005-09-15,0.696488
2005-10-15,0.639055
2005-11-15,0.656557
2005-12-15,0.748627
2006-01-15,0.750397
2006-02-15,0.653394
2006-03-15,0.664927
2006-04-15,0.600714
2006-05-15,0.655064
2006-06-15,0.713665
2006-07-15,0.753266
2006-08-15,0.751488
2006-09-15,0.695413
2006-10-15,0.60011
2006-11-15,0.640629
2006-12-15,0.73556
2007-01-15,0.776251
2007-02-15,0.684143
2007-03-15,0.674497
2007-04-15,0.601035
2007-05-15,0.682043
2007-06-15,0.722934
2007-07-15,0.762954
2007-08-15,0.763084
2007-09-15,0.708832
2007-10-15,0.647062
2007-11-15,0.680729
2007-12-15,0.755027
2008-01-15,0.739318
2008-02-15,0.680743
2008-03-15,0.676417
2008-04-15,0.599242
2008-05-15,0.67756
2008-06-15,0.734978
2008-07-15,0.776775
2008-08-15,0.758994
2008-09-15,0.700847
2008-10-15,0.656598
2008-11-15,0.662742
2008-12-15,0.762278
2009-01-15,0.775038
2009-02-15,0.671752
2009-03-15,0.703269
2009-04-15,0.621353
2009-05-15,0.683971
2009-06-15,0.729356
2009-07-15,0.762973
2009-08-15,0.755606
2009-09-15,0.687698
2009-10-15,0.606841
2009-11-15,0.617805
2009-12-15,0.739558
2010-01-15,0.758495
2010-02-15,0.681945
2010-03-15,0.675562
2010-04-15,0.602151
2010-05-15,0.696713
2010-06-15,0.713885
2010-07-15,0.75164
2010-08-15,0.748093
2010-09-15,0.725068
2010-10-15,0.655872
2010-11-15,0.654872
2010-12-15,0.770138
2011-01-15,0.761181
2011-02-15,0.677953
2011-03-15,0.687083
2011-04-15,0.570783
2011-05-15,0.596583
2011-06-15,0.682987
2011-07-15,0.757017
2011-08-15,0.746487
2011-09-15,0.699506
2011-10-15,0.662758
2011-11-15,0.674655
2011-12-15,0.751706
2012-01-15,0.758482
2012-02-15,0.669053
2012-03-15,0.646854
2012-04-15,0.585471
2012-05-15,0.650551
2012-06-15,0.682603
2012-07-15,0.724406
2012-08-15,0.729361
2012-09-15,0.67601
2012-10-15,0.626049
2012-11-15,0.594293
2012-12-15,0.718688
2013-01-15,0.746119
2013-02-15,0.64244
2013-03-15,0.657737
2013-04-15,0.593157
2013-05-15,0.6567
2013-06-15,0.694124
2013-07-15,0.737064
2013-08-15,0.745477
2013-09-15,0.687533
2013-10-15,0.660205
2013-11-15,0.678929
2013-12-15,0.744947
2014-01-15,0.765208
2014-02-15,0.655141
2014-03-15,0.652611
2014-04-15,0.589726
2014-05-15,0.658367
2014-06-15,0.712658
2014-07-15,0.752422
2014-08-15,0.743936
2014-09-15,0.706343
2014-10-15,0.652547
2014-11-15,0.681301
2014-12-15,0.767299
2015-01-15,0.776715
2015-02-15,0.66368
2015-03-15,0.67503
2015-04-15,0.625226
2015-05-15,0.688414
2015-06-15,0.716542
2015-07-15,0.746829
2015-08-15,0.75732
2015-09-15,0.69521
2015-10-15,0.633451
2015-11-15,0.63024
2015-12-15,0.728229
2016-01-15,0.758537
2016-02-15,0.686509
2016-03-15,0.691851
2016-04-15,0.656112
2016-05-15,0.696324
2016-06-15,0.702587
2016-07-15,0.735784
2016-08-15,0.748095
2016-09-15,0.684522
2016-10-15,0.63521
2016-11-15,0.681705
2016-12-15,0.749517
2017-01-15,0.764768
2017-02-15,0.664778
2017-03-15,0.68081
2017-04-15,0.593479
2017-05-15,0.64127
2017-06-15,0.700866
2017-07-15,0.745875
2017-08-15,0.757067
2017-09-15,0.712236
2017-10-15,0.690239
2017-11-15,0.696756
2017-12-15,0.770824
2018-01-15,0.780456
2018-02-15,0.67738
2018-03-15,0.700826
2018-04-15,0.618237
2018-05-15,0.703833
2018-06-15,0.728583
2018-07-15,0.757528
2018-08-15,0.755713
2018-09-15,0.676697
2018-10-15,0.620995
2018-11-15,0.668643
2018-12-15,0.749177
2019-01-15,0.769584
2019-02-15,0.675753
2019-03-15,0.679562
2019-04-15,0.632586
2019-05-15,0.700904
2019-06-15,0.718461
2019-07-15,0.753898
2019-08-15,0.750891
2019-09-15,0.689836
2019-10-15,0.647745
2019-11-15,0.669598
2019-12-15,0.763034
2020-01-15,0.774776
2020-02-15,0.688502
2020-03-15,0.668515
2020-04-15,0.61809
2020-05-15,0.672074
2020-06-15,0.702024
2020-07-15,0.7248
2020-08-15,0.720588
2020-09-15,0.686588
2020-10-15,0.6201
2020-11-15,0.645145
2020-12-15,0.729872
2021-01-15,0.748098
2021-02-15,0.656549
2021-03-15,0.664413
2021-04-15,0.595413
2021-05-15,0.661137
2021-06-15,0.689048
2021-07-15,0.717845
2021-08-15,0.724517
2021-09-15,0.672879
2021-10-15,0.609065
2021-11-15,0.654413
2021-12-15,0.737537
2022-01-15,0.736046
2022-02-15,0.645056
2022-03-15,0.65863
2022-04-15,0.576615
2022-05-15,0.661007
2022-06-15,0.685346
2022-07-15,0.718109
2022-08-15,0.718526
2022-09-15,0.664673
2022-10-15,0.614741
2022-11-15,0.647029
2022-12-15,0.720583
2023-01-15,0.739104
2023-02-15,0.634155
