Date,Total Renewable Energy Production
1973-01-15,0.403981
1973-02-15,0.3609
1973-03-15,0.400161
1973-04-15,0.38047
1973-05-15,0.392141
1973-06-15,0.377232
1973-07-15,0.367325
1973-08-15,0.353757
1973-09-15,0.307006
1973-10-15,0.323453
1973-11-15,0.337817
1973-12-15,0.406694
1974-01-15,0.437467
1974-02-15,0.399942
1974-03-15,0.423474
1974-04-15,0.422323
1974-05-15,0.427657
1974-06-15,0.409281
1974-07-15,0.409719
1974-08-15,0.386101
1974-09-15,0.35391
1974-10-15,0.343703
1974-11-15,0.351633
1974-12-15,0.376642
1975-01-15,0.392756
1975-02-15,0.368278
1975-03-15,0.42349
1975-04-15,0.405368
1975-05-15,0.421283
1975-06-15,0.411622
1975-07-15,0.398459
1975-08-15,0.36823
1975-09-15,0.341957
1975-10-15,0.368786
1975-11-15,0.383196
1975-12-15,0.403696
1976-01-15,0.421775
1976-02-15,0.396173
1976-03-15,0.427044
1976-04-15,0.396931
1976-05-15,0.415728
1976-06-15,0.411555
1976-07-15,0.421425
1976-08-15,0.398129
1976-09-15,0.356984
1976-10-15,0.369186
1976-11-15,0.351386
1976-12-15,0.360834
1977-01-15,0.378521
1977-02-15,0.304328
1977-03-15,0.368966
1977-04-15,0.351301
1977-05-15,0.356923
1977-06-15,0.336485
1977-07-15,0.336903
1977-08-15,0.335881
1977-09-15,0.328075
1977-10-15,0.341368
1977-11-15,0.370168
1977-12-15,0.400048
1978-01-15,0.438983
1978-02-15,0.391866
1978-03-15,0.433459
1978-04-15,0.434379
1978-05-15,0.475883
1978-06-15,0.432628
1978-07-15,0.431461
1978-08-15,0.408417
1978-09-15,0.392287
1978-10-15,0.379436
1978-11-15,0.379078
1978-12-15,0.407564
1979-01-15,0.447796
1979-02-15,0.390487
1979-03-15,0.457799
1979-04-15,0.445932
1979-05-15,0.48908
1979-06-15,0.441683
1979-07-15,0.424513
1979-08-15,0.40921
1979-09-15,0.378903
1979-10-15,0.397602
1979-11-15,0.41474
1979-12-15,0.425109
1980-01-15,0.478943
1980-02-15,0.424298
1980-03-15,0.469134
1980-04-15,0.477356
1980-05-15,0.517456
1980-06-15,0.497768
1980-07-15,0.471331
1980-08-15,0.429358
1980-09-15,0.401712
1980-10-15,0.402564
1980-11-15,0.409876
1980-12-15,0.448546
1981-01-15,0.462381
1981-02-15,0.427043
1981-03-15,0.443808
1981-04-15,0.43802
1981-05-15,0.480423
1981-06-15,0.496995
1981-07-15,0.491304
1981-08-15,0.454028
1981-09-15,0.40722
1981-10-15,0.416966
1981-11-15,0.418476
1981-12-15,0.477024
1982-01-15,0.51444
1982-02-15,0.489624
1982-03-15,0.544724
1982-04-15,0.517128
1982-05-15,0.525795
1982-06-15,0.518974
1982-07-15,0.519267
1982-08-15,0.483203
1982-09-15,0.433748
1982-10-15,0.439874
1982-11-15,0.46993
1982-12-15,0.52293
1983-01-15,0.562279
1983-02-15,0.523276
1983-03-15,0.572853
1983-04-15,0.561458
1983-05-15,0.581741
1983-06-15,0.569493
1983-07-15,0.550993
1983-08-15,0.528288
1983-09-15,0.476173
1983-10-15,0.474251
1983-11-15,0.507035
1983-12-15,0.587773
1984-01-15,0.570081
1984-02-15,0.535239
1984-03-15,0.57904
1984-04-15,0.566019
1984-05-15,0.593504
1984-06-15,0.553321
1984-07-15,0.547618
1984-08-15,0.524053
1984-09-15,0.47091
1984-10-15,0.47962
1984-11-15,0.48611
1984-12-15,0.532347
1985-01-15,0.555205
1985-02-15,0.511838
1985-03-15,0.525002
1985-04-15,0.512937
1985-05-15,0.542968
1985-06-15,0.50733
1985-07-15,0.489577
1985-08-15,0.475912
1985-09-15,0.454274
1985-10-15,0.475406
1985-11-15,0.499606
1985-12-15,0.53396
1986-01-15,0.486064
1986-02-15,0.479122
1986-03-15,0.558538
1986-04-15,0.539897
1986-05-15,0.545072
1986-06-15,0.527412
1986-07-15,0.513292
1986-08-15,0.482847
1986-09-15,0.472114
1986-10-15,0.482113
1986-11-15,0.492321
1986-12-15,0.532346
1987-01-15,0.521265
1987-02-15,0.452878
1987-03-15,0.498782
1987-04-15,0.477656
1987-05-15,0.509032
1987-06-15,0.466873
1987-07-15,0.467691
1987-08-15,0.448986
1987-09-15,0.437201
1987-10-15,0.442655
1987-11-15,0.423208
1987-12-15,0.47558
1988-01-15,0.495132
1988-02-15,0.446663
1988-03-15,0.469098
1988-04-15,0.455993
1988-05-15,0.486212
1988-06-15,0.453891
1988-07-15,0.442602
1988-08-15,0.437214
1988-09-15,0.426312
1988-10-15,0.422602
1988-11-15,0.448903
1988-12-15,0.472132
1989-01-15,0.509146
1989-02-15,0.461434
1989-03-15,0.532714
1989-04-15,0.530096
1989-05-15,0.562699
1989-06-15,0.546135
1989-07-15,0.525096
1989-08-15,0.513153
1989-09-15,0.487948
1989-10-15,0.511058
1989-11-15,0.521323
1989-12-15,0.53384
1990-01-15,0.511271
1990-02-15,0.508359
1990-03-15,0.567933
1990-04-15,0.530428
1990-05-15,0.525671
1990-06-15,0.503361
1990-07-15,0.499493
1990-08-15,0.497453
1990-09-15,0.447347
1990-10-15,0.460198
1990-11-15,0.459564
1990-12-15,0.528926
1991-01-15,0.569476
1991-02-15,0.465115
1991-03-15,0.519107
1991-04-15,0.49291
1991-05-15,0.540586
1991-06-15,0.513636
1991-07-15,0.499532
1991-08-15,0.512227
1991-09-15,0.49172
1991-10-15,0.467133
1991-11-15,0.467741
1991-12-15,0.528579
1992-01-15,0.535604
1992-02-15,0.449192
1992-03-15,0.482781
1992-04-15,0.445952
1992-05-15,0.455236
1992-06-15,0.497878
1992-07-15,0.486974
1992-08-15,0.491438
1992-09-15,0.45826
1992-10-15,0.472677
1992-11-15,0.498629
1992-12-15,0.545911
1993-01-15,0.564642
1993-02-15,0.477335
1993-03-15,0.543311
1993-04-15,0.527474
1993-05-15,0.5371
1993-06-15,0.506685
1993-07-15,0.491681
1993-08-15,0.502287
1993-09-15,0.461697
1993-10-15,0.468758
1993-11-15,0.482148
1993-12-15,0.518764
1994-01-15,0.546053
1994-02-15,0.474595
1994-03-15,0.530489
1994-04-15,0.515822
1994-05-15,0.494544
1994-06-15,0.497428
1994-07-15,0.538294
1994-08-15,0.48433
1994-09-15,0.433622
1994-10-15,0.476298
1994-11-15,0.482928
1994-12-15,0.512709
1995-01-15,0.516503
1995-02-15,0.47862
1995-03-15,0.550404
1995-04-15,0.536523
1995-05-15,0.533618
1995-06-15,0.560143
1995-07-15,0.601274
1995-08-15,0.582279
1995-09-15,0.49949
1995-10-15,0.558494
1995-11-15,0.554285
1995-12-15,0.585642
1996-01-15,0.60665
1996-02-15,0.571302
1996-03-15,0.627922
1996-04-15,0.556065
1996-05-15,0.594902
1996-06-15,0.607613
1996-07-15,0.610092
1996-08-15,0.594874
1996-09-15,0.513255
1996-10-15,0.56874
1996-11-15,0.561304
1996-12-15,0.598131
1997-01-15,0.629796
1997-02-15,0.563282
1997-03-15,0.628984
1997-04-15,0.603773
1997-05-15,0.642242
1997-06-15,0.607799
1997-07-15,0.611209
1997-08-15,0.566979
1997-09-15,0.513208
1997-10-15,0.581269
1997-11-15,0.526463
1997-12-15,0.541764
1998-01-15,0.591522
1998-02-15,0.53459
1998-03-15,0.585341
1998-04-15,0.55008
1998-05-15,0.606588
1998-06-15,0.538488
1998-07-15,0.565994
1998-08-15,0.537283
1998-09-15,0.487106
1998-10-15,0.485974
1998-11-15,0.456083
1998-12-15,0.553637
1999-01-15,0.596135
1999-02-15,0.533202
1999-03-15,0.564559
1999-04-15,0.55165
1999-05-15,0.610248
1999-06-15,0.571946
1999-07-15,0.593676
1999-08-15,0.54707
1999-09-15,0.482158
1999-10-15,0.456712
1999-11-15,0.492902
1999-12-15,0.515274
2000-01-15,0.505147
2000-02-15,0.499955
2000-03-15,0.558
2000-04-15,0.568518
2000-05-15,0.558717
2000-06-15,0.509108
2000-07-15,0.526256
2000-08-15,0.50368
2000-09-15,0.44337
2000-10-15,0.46821
2000-11-15,0.482862
2000-12-15,0.477781
2001-01-15,0.444966
2001-02-15,0.404064
2001-03-15,0.455774
2001-04-15,0.425359
2001-05-15,0.435509
2001-06-15,0.454608
2001-07-15,0.436058
2001-08-15,0.447894
2001-09-15,0.396462
2001-10-15,0.409912
2001-11-15,0.401766
2001-12-15,0.449323
2002-01-15,0.476538
2002-02-15,0.428352
2002-03-15,0.459457
2002-04-15,0.488503
2002-05-15,0.52764
2002-06-15,0.533563
2002-07-15,0.525237
2002-08-15,0.469651
2002-09-15,0.431886
2002-10-15,0.445445
2002-11-15,0.455848
2002-12-15,0.488691
2003-01-15,0.470084
2003-02-15,0.437329
2003-03-15,0.508199
2003-04-15,0.509631
2003-05-15,0.557601
2003-06-15,0.549071
2003-07-15,0.524603
2003-08-15,0.501509
2003-09-15,0.447102
2003-10-15,0.451913
2003-11-15,0.460803
2003-12-15,0.524518
2004-01-15,0.514248
2004-02-15,0.474088
2004-03-15,0.510681
2004-04-15,0.488736
2004-05-15,0.522585
2004-06-15,0.531771
2004-07-15,0.523845
2004-08-15,0.502467
2004-09-15,0.479379
2004-10-15,0.472876
2004-11-15,0.484736
2004-12-15,0.557132
2005-01-15,0.537024
2005-02-15,0.489382
2005-03-15,0.524478
2005-04-15,0.514322
2005-05-15,0.567445
2005-06-15,0.559535
2005-07-15,0.561815
2005-08-15,0.514634
2005-09-15,0.46415
2005-10-15,0.475798
2005-11-15,0.484887
2005-12-15,0.527149
2006-01-15,0.590869
2006-02-15,0.529214
2006-03-15,0.553135
2006-04-15,0.577794
2006-05-15,0.611315
2006-06-15,0.598553
2006-07-15,0.568524
2006-08-15,0.531419
2006-09-15,0.478049
2006-10-15,0.48933
2006-11-15,0.515778
2006-12-15,0.541985
2007-01-15,0.592139
2007-02-15,0.487978
2007-03-15,0.574729
2007-04-15,0.566479
2007-05-15,0.594169
2007-06-15,0.555712
2007-07-15,0.561991
2007-08-15,0.542003
2007-09-15,0.483281
2007-10-15,0.500562
2007-11-15,0.50315
2007-12-15,0.547781
2008-01-15,0.597514
2008-02-15,0.542157
2008-03-15,0.604343
2008-04-15,0.607143
2008-05-15,0.668706
2008-06-15,0.675398
2008-07-15,0.646179
2008-08-15,0.599136
2008-09-15,0.531866
2008-10-15,0.552074
2008-11-15,0.551693
2008-12-15,0.614709
2009-01-15,0.626626
2009-02-15,0.545174
2009-03-15,0.625216
2009-04-15,0.651188
2009-05-15,0.693066
2009-06-15,0.685709
2009-07-15,0.645551
2009-08-15,0.617941
2009-09-15,0.570828
2009-10-15,0.628157
2009-11-15,0.642508
2009-12-15,0.692132
2010-01-15,0.684495
2010-02-15,0.622578
2010-03-15,0.696482
2010-04-15,0.67551
2010-05-15,0.732525
2010-06-15,0.768768
2010-07-15,0.717387
2010-08-15,0.677829
2010-09-15,0.640886
2010-10-15,0.661166
2010-11-15,0.69587
2010-12-15,0.738991
2011-01-15,0.755734
2011-02-15,0.718251
2011-03-15,0.826948
2011-04-15,0.824325
2011-05-15,0.845387
2011-06-15,0.837126
2011-07-15,0.805367
2011-08-15,0.75538
2011-09-15,0.689269
2011-10-15,0.719799
2011-11-15,0.747776
2011-12-15,0.780226
2012-01-15,0.773503
2012-02-15,0.695572
2012-03-15,0.79711
2012-04-15,0.7704
2012-05-15,0.812606
2012-06-15,0.779085
2012-07-15,0.750558
2012-08-15,0.719969
2012-09-15,0.650758
2012-10-15,0.683128
2012-11-15,0.687341
2012-12-15,0.769471
2013-01-15,0.798301
2013-02-15,0.712286
2013-03-15,0.779737
2013-04-15,0.82875
2013-05-15,0.869844
2013-06-15,0.833815
2013-07-15,0.825831
2013-08-15,0.753316
2013-09-15,0.708225
2013-10-15,0.751381
2013-11-15,0.769799
2013-12-15,0.806743
2014-01-15,0.832071
2014-02-15,0.715293
2014-03-15,0.86744
2014-04-15,0.874973
2014-05-15,0.872186
2014-06-15,0.870396
2014-07-15,0.837458
2014-08-15,0.769384
2014-09-15,0.724546
2014-10-15,0.775083
2014-11-15,0.819811
2014-12-15,0.839005
2015-01-15,0.832216
2015-02-15,0.774095
2015-03-15,0.840618
2015-04-15,0.836982
2015-05-15,0.830356
2015-06-15,0.795457
2015-07-15,0.821508
2015-08-15,0.795295
2015-09-15,0.745604
2015-10-15,0.778143
2015-11-15,0.829956
2015-12-15,0.885702
2016-01-15,0.878465
2016-02-15,0.86691
2016-03-15,0.945572
2016-04-15,0.895644
2016-05-15,0.906372
2016-06-15,0.863119
2016-07-15,0.87458
2016-08-15,0.82709
2016-09-15,0.792544
2016-10-15,0.839767
2016-11-15,0.840572
2016-12-15,0.946713
2017-01-15,0.93166
2017-02-15,0.878644
2017-03-15,1.03112
2017-04-15,1.002379
2017-05-15,1.039889
2017-06-15,0.99436
2017-07-15,0.928979
2017-08-15,0.874481
2017-09-15,0.849391
2017-10-15,0.904786
2017-11-15,0.896117
2017-12-15,0.927668
2018-01-15,0.976925
2018-02-15,0.922928
2018-03-15,1.01719
2018-04-15,1.024172
2018-05-15,1.054657
2018-06-15,1.033797
2018-07-15,0.948979
2018-08-15,0.953708
2018-09-15,0.872337
2018-10-15,0.909445
2018-11-15,0.913357
2018-12-15,0.952039
2019-01-15,0.952652
2019-02-15,0.882908
2019-03-15,0.999781
2019-04-15,1.039685
2019-05-15,1.073738
2019-06-15,1.009853
2019-07-15,0.998255
2019-08-15,0.952537
2019-09-15,0.912455
2019-10-15,0.941523
2019-11-15,0.91204
2019-12-15,0.951888
2020-01-15,0.981348
2020-02-15,0.985244
2020-03-15,0.995181
2020-04-15,0.922939
2020-05-15,1.02141
2020-06-15,1.038777
2020-07-15,0.994972
2020-08-15,0.95487
2020-09-15,0.884512
2020-10-15,0.938443
2020-11-15,0.980577
2020-12-15,0.984448
2021-01-15,0.994593
2021-02-15,0.872051
2021-03-15,1.094178
2021-04-15,1.05196
2021-05-15,1.11014
2021-06-15,1.037859
2021-07-15,0.999084
2021-08-15,1.013442
2021-09-15,0.970492
2021-10-15,1.00452
2021-11-15,1.038315
2021-12-15,1.116409
2022-01-15,1.133858
2022-02-15,1.075089
2022-03-15,1.212817
2022-04-15,1.180213
2022-05-15,1.223446
2022-06-15,1.191116
2022-07-15,1.137061
2022-08-15,1.048755
2022-09-15,0.983256
2022-10-15,1.024145
2022-11-15,1.102058
2022-12-15,1.093141
2023-01-15,1.123029
2023-02-15,1.087139
